marca,modelo,numeracao,preco_atacado,preco_varejo,imagem_url,imagem_idx,fonte_url,min,max,imagem_local,cód.tenis,ocr_texto,__csv_origem,__marca,image2,image_link_github,image2_link_github
Adidas,FALCON 3.0,34 – 39,"R$ 80,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-6-1024x1024.jpg?ssl=1&resize=1200%2C1200,1.0,https://rickatacado.com/adidas/,34.0,39.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-6-1024x1024.jpg,R:900-F3-09,R:900-F3-09,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-6-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5-1024x1024.jpg
Adidas,FALCON 3.0,34 – 39,"R$ 80,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3.0-274-Photoroom-1024x1024.jpg?ssl=1&resize=1200%2C1200,3.0,https://rickatacado.com/adidas/,34.0,39.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3.0-274-Photoroom-1024x1024.jpg,R:900-F3-274,sooo | . a R:900-F3-274,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3.0-274-2-Photoroom-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3.0-274-Photoroom-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3.0-274-2-Photoroom-1024x1024.jpg
Adidas,FALCON 3.0,34 – 39,"R$ 80,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R900-F3.0-836-Photoroom-1024x1024.jpg?ssl=1&resize=1200%2C1200,5.0,https://rickatacado.com/adidas/,34.0,39.0,TENIS-ADIDAS-FALCON-ATACADO-R900-F3.0-836-Photoroom-1024x1024.jpg,R:900-F3-836,ee R:900-F3-836,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R900-F3.0-836-2-Photoroom-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R900-F3.0-836-Photoroom-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R900-F3.0-836-2-Photoroom-1024x1024.jpg
Adidas,Falcon 05,38 – 43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4--1-1024x1024.jpg?ssl=1&resize=1200%2C1200,1.0,https://rickatacado.com/adidas/,38.0,43.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4--1-1024x1024.jpg,R:900-F5-243,3 | 4 R:900-F5-243,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5--1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4--1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5--1-1024x1024.jpg
Adidas,Falcon 05,38 – 43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-06-1-Photoroom-1-1024x1024.jpg?ssl=1&resize=1200%2C1200,3.0,https://rickatacado.com/adidas/,38.0,43.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-06-1-Photoroom-1-1024x1024.jpg,R:900-F5-06,R:900-F5-06,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-06-2-Photoroom-1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-06-1-Photoroom-1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-06-2-Photoroom-1-1024x1024.jpg
Adidas,Falcon 05,38 – 43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-736-1-1-1024x1024.jpg?ssl=1&resize=1200%2C1200,5.0,https://rickatacado.com/adidas/,38.0,43.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-736-1-1-1024x1024.jpg,R:900-F5.05-736,R:900-F5.05-736,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-736-2-1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-736-1-1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-736-2-1-1024x1024.jpg
Adidas,Falcon 05,38 – 43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-800-1-Photoroom-1-1024x1024.jpg?ssl=1&resize=1200%2C1200,7.0,https://rickatacado.com/adidas/,38.0,43.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-800-1-Photoroom-1-1024x1024.jpg,R:900-F5-800,R:900-F5-800,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-800-2-Photoroom-1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-800-1-Photoroom-1-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-800-2-Photoroom-1-1024x1024.jpg
Adidas,Falcon 05,34 – 39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-2--1024x1024.jpg?ssl=1&resize=1200%2C1200,9.0,https://rickatacado.com/adidas/,34.0,39.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-2--1024x1024.jpg,R:900-F5-508,R:900-F5-508,scraper_adidas.csv,Adidas,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-3--1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-2--1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-3--1024x1024.jpg
Adidas,Falcon 05,34 – 39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4--2-1024x1024.jpg?ssl=1&resize=1200%2C1200,11.0,https://rickatacado.com/adidas/,34.0,39.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4--2-1024x1024.jpg,R:900-F5-243,3 | 4 R:900-F5-243,scraper_adidas.csv,Adidas,,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4--2-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/nan
Adidas,Falcon 05,34 – 39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5--2-1024x1024.jpg?ssl=1&resize=1200%2C1200,12.0,https://rickatacado.com/adidas/,34.0,39.0,TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5--2-1024x1024.jpg,R:900-F5-243,- | R:900-F5-243,scraper_adidas.csv,Adidas,,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5--2-1024x1024.jpg,https://raw.githubusercontent.com/leandro7373/repositorio_git/main/imagens_sem_codigo/nan
