marca,modelo,numeracao,preco_atacado,preco_varejo,link_imagem1,link_imagem2
HUGO BOSS,CASUAL BOSS SOLA ALTA,37-41,"R$ 170,00","R$ 340,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_1650-SLA-01-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
HUGO BOSS,CASUAL HUGO BOSS,37-43,"R$ 135,00","R$ 270,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_1650-B.87-631-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
HUGO BOSS,TÊNIS BOSS,37-43,"R$ 170,00","R$ 340,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_1650-B80-25-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
HUGO BOSS,BOSS ELÁSTICO,38-43,"R$ 140,00","R$ 280,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/09/R_1650-M28-498-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
HUGO BOSS,BOSS TTNM EVO,38-43,"R$ 175,00","R$ 330,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/07/R_1650-TTNM-817-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
OAKLEY,STRATUS,37-44,"R$ 130,00","R$ 260,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_800-STRU-25-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
OAKLEY,TEETH,38-43,"R$ 110,00","R$ 220,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/11/R_800-TTH-18-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
LACOSTE,L003 NEO,38-43,"R$ 180,00","R$ 360,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/09/R_950-L003-831-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
NIKE,AIR MAX TN PLUS,38 ao 43,"R$60,00","R$ 120,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/IMG_0131-Photoroom.jpg?fit=1200%2C1200&quality=89&ssl=1,
PRADA,PRADA COURO SOLA E.V.A,37-43,"R$ 180,00","R$ 360,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_1350-PR45-01-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
PRADA,PRADA MILANO COURO,38-43,"R$ 145,00","R$ 300,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/03/R_1350-M89-01-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
PRADA,COTURNO PRADA,34-39,"R$ 100,00","R$ 240,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2023/07/Prancheta-9.jpg?fit=2400%2C1300&quality=89&ssl=1,
OFF-WHITE,OFF-WHITE OUT OF OFFICE,38-43,"R$ 100,00","R$ 200,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/08/R_1600-OFF-06-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
CHUTEIRAS,ZOOM FUTSAL,38-43,"R$ 65,00","R$ 110,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_100-980-988-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
CHUTEIRAS,ZOOM CAMPO,38-43,"R$ 65,00","R$ 110,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_100-1000-1001-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
CHUTEIRAS,PHANTOM CAMPO,38-43,"R$ 55,00","R$ 110,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_100-940-944-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
CHUTEIRAS,PHANTOM FUTSAL,38-43,"R$ 55,00","R$ 110,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2024/10/R_100-920-924-1.jpg?fit=2400%2C1300&quality=89&ssl=1,
