marca,modelo,numeracao,preco_atacado,preco_varejo,link_imagem1,link_imagem2,min,max
ADIDAS,FALCON 3.0,34-39,"R$ 80,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-6-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,FALCON 3.0,34-39,"R$ 80,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3.0-274-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3.0-274-2-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,FALCON 3.0,34-39,"R$ 80,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R900-F3.0-836-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ADIDAS-FALCON-ATACADO-R900-F3.0-836-2-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,FALCON 05,38-43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4--1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5--1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,38,43
ADIDAS,FALCON 05,38-43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-06-1-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-06-2-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,38,43
ADIDAS,FALCON 05,38-43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-736-1-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-736-2-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,38,43
ADIDAS,FALCON 05,38-43,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-800-1-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-800-2-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,38,43
ADIDAS,FALCON 05,34-39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-2--1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-3--1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,FALCON 05,34-39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-4-1-1-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F3-5-1-1-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,FALCON 05,34-39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-07-1-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ADIDAS-FALCON-ATACADO-R-900-F5-07-2-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,FÓRUM LOW 84,34-43,"R$ 75,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-FORUM-84-R900-FR-LOW-01-2-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-FORUM-84-R900-FR-LOW-01-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,43
ADIDAS,FÓRUM LOW 84,34-43,"R$ 75,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-FORUM-84-R900-FR-LOW-90-2-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-FORUM-84-R900-FR-LOW-90-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,43
